	
ab	from
abendbrot	dinner
aber	but; but for all that; however
ach	Oh
alle	all; every
alles	anything; everything
als	as; at the time when; for; inasmuch; qua; than; then; when
alten	old
altes	old one
an	at; by; in; on; to
anderen	other
anderes	other
aneinander	together
atemzug	breath
auch	also; as well; too
auf	at; in; on; onto; to; up; upon
aufgeregt	excited; flutteringly; psyched
aufhören	to break off; to cease; to stop; to leave {left, left}
aufmachen	to open up; to unclasp; to undo; to unstop
augen	... eyes
aus	from; of; off; out; over
ausgemacht	agreed
ausgerechnet	calculated
aß	ate; victualed
bank	bench; settle
barfuß	bare-footed; barefoot; shoeless; unshod
bei	at; by; next to; on
besonders	especially; extra; particular; particularly; particulary; peculiar; respective; several; severally; special; specially
bis	as far as; by; til; till; unless; until; untill
blau	blue
blauen	blue
blech	plate; sheet metal
bleiben	abided; abode; to remain; to rest; to stay; to abide {abode, abided}
bombe	bomb
bomben	bombs
da	as; here; that; there
dabei	near by; thereby; withal
dachte	thought; thoughts
dann	then
daran	at it
das	that; the; what; which; who
dass	have a reputation for; he explained (justified) it by the fact that; he satisfied me that; Im convinced that; Ive a notion that; insomuch; it is thanks to him that; its no wonder that; provided that; providing that; that; to make it quite clear to someone that; to make no bones about the fact that; to make the point that; to recognize that; to take the view that
dem	the
den	the
denken	reasoning
denn	for
der	the; which; who
die	the; which; who
doch	still
drei	three
druck	pressure
dunklen	dark
ein	mono
eine	an; one
einem	one
einen	one
einer	another; any
eltern	parent; parents
entlang	along
entschuldigend	apologizing; exculpating; excusing
er	he
erst	first; foremost
erzählt	narrates; proses; recounts; talks; tells
es	it
essen	meal
etwas	anything; aught; poco; something; somewhat
familie	family
fand	found
fast	almost; nearly
fest	ive
fiel	cascaded; fell
finde	find
finger	s
fingerspitze	finger tip; fingertip; tip of the finger
fort	along; away; begone; gone; off
fragte	asked; interrogated; queried; questioned
frau	femme; mrs; signora; wife; woman
freudig	glad; joyful; joyfully; joyously
fuhr	carted; drove
füße	feet
ganz	all; entire; integrally; quite; total; unbrokenly; unmitigated; unmitigatedly; whole
geblieben	abode; remained; stayed
gefunden	encountered; finding; found; funds
gehen	going
geht	ambulates; goes
gehört	appertains; heard; heared; listened; pertains
gekachelt	tiled
gemalten	painted
gerade	even
gesagt	no sooner said than done; told
geschlafen	nodded; slept
gesicht	face
getroffen	met
gewesen	been
ging	ambulated; walked
gleich	Im on my way!
habe	having
haben	have got to; to have {had, had}
halb	semi
hand	
hat	has
hatte	had
hatten	had
haus	interoffice
hause	home
hell	bright; clear; light; lucid
herr	gent; gentleman; master; mister; Mr.; signor; sir
hielt	held
hier	here; herein
hin	down
hob	lifted
hoch	high
hunger	
hörte	heard
hübsch	bonnie; cute; handsome; handsomely; neat; nice; nifty; pretty
ich	I
ihm	him
ihn	him
ihnen	them
ihr	her; hers; their; theirs; you
ihre	Ihr(e) her; hers; their; theirs
ihren	their
ihrer	you
imer	
immer	always; forever; throughout; whensoever
immerzu	incessantly
in	at; chunkily; ; to; on
innerlich	inner; inwardly; mentally
ins	in the
irren	psychotics
ist	is
ja	yea; yep; yes
jede	any; each
jedes	anything
jemand	anybody; anyone; somebody; someone
jetzt	by now; currently; now; yet
kacheln	(glazed) tiles
kalt	chilly; cold; coldly; cool; frigid; gelid; unloving
kam	came
kannten	knew
kaputt	broken; haywire; to bust
keinen	no
kinderwagen	buggies; buggy; perambulator
klein	substandard
kommt	comes
konnte	could
kopf	ear; head; heading; pate
kreis	orbital
könnte	could; might
küche	cuisine; kitchen
küchenuhr	kitchen clock
lachte	laughed
lack	enamel; enamel varnish; finish; lacquer; varnish
lang	long
lange	a long time; for a long time
leise	gentle; quiet
licht	light
lieber	dear; rather
lächelte	smiled
machte	moored
mal	times
man	one; we; you
mann	husband; man
mehr	further; more; times
meine	my
meinem	my
meinen	to guess; to opine; to think {thought, thought} (of); to mean {meant, meant}
meinte	opined; reckoned
meistens	mostly
mich	me
mir	me
mit	with
mutter	mom; mommy; mother; nut
müssen	have got to; must; to be obliged; to have to; to want
nach	according to; after; emulatesbildet; for; on; to; towards
nacht	night-time; overnight
nachts	at night; by night
natürlich	artless; elemental; natural; naturally; of course; unstudied; unstudiedly
neben	ancillary; auxiliary
nein	nay; no; nope
nicht	non
nichts	naught; nil; none; nothing
nickte	nodded
nie	hardly ever; never
noch	another; nor; still
nun	! now
nur	mere; only
nämlch	
