active	aktiv<br>aktiver<br>am aktivsten 
actual, current, topical	aktuell<br>aktueller<br>am aktuellsten 
additional	zusätzlich Keine Steigerung 
renewed, <br>again, <br>once more	erneut Keine Steigerung 
annually, yearly	jährlich Keine Steigerung 
automatic	automatisch<br>automatischer<br>am automatischsten 
available	verfügbar, erhältlich 
bad	schlect<br>schlechter<br>am schlechtesten Sie ist die schlechteste Studentin. [= worst] 
beautiful 	schön<br>schöner<br>am schönsten 
big, large, tall	groß<br>größer<br>am größten 
broken	kaputt<br>kaputter<br>am Kaputtesten gebrochen 
cheap	billig 
clear	klar<br>klarer<br>am klarsten 
precise, clear	deutlich<br>deutlicher<br>am deutlichsten 
clearly, definitely, conclusive	eindeutig<br>eindeutiger<br>am eindeutigsten Das war eine eindeutige Aussage 
cold	kalt<br>kälter<br>am kältesten 
to annouce	mitteilen<br>melden<br>ankündigen 
completely, totally	komplett, völlig 
correct, right	richtig<br>richtiger<br>am richtigsten 
daily	täglich Keine Steigerung 
dependent <br>independent	abhängig <br>unabhängig, selbständig 
detailed	detailliert<br>detaillierter<br>am detailliertsten 
I know what you mean.	Ich weiß was du meinst. 
early	früh <br>früher<br>am frühstens 
empty	leer<br>leerer<br>am leersten 
equal [maths], <br>gives, <br>makes, <br>is 	gleich [maths]<br>gibt<br>macht <br>ist Drei plus vier ist gleich sieben. <br>Fünf minus zwei gibt drei.
essential, <br>fundamental 	notwendig<br>wesentlich <br>fundamental Das war von fundamentaler Bedeutung. 
european	europäisch<br>europäischer<br>am europäischsten 
exactly, precisely, I agree	genau<br>genauer<br>am genauesten 
excellent, magnificent	ausgezeichnet Keine Steigerung 
expensive	teuer<br>teurer<br>am teuersten 
external	extern<br>externer<br>am externsten 
extreme	extrem<br>extremer<br>am extremsten 
far	weit<br>weiter<br>am weitesten 
finished, complete, done	erledigt <br><br>fertig<br>fertiger<br>am fertigsten 
fit [condition]	fit<br>fitter<br>am fittesten 
fitting, suitable, appropriate	passend<br>passender<br>am passendsten 
free	frei<br>freier<br>am freiesten 
free of charge	kostenlos <br>gratis Keine Steigerung 
full	voll<br>voller<br>am vollsten 
general	allgemein<br>allgemeiner<br>am allgemeinsten Das ist allgemein richtig. 
german, germanic	deutsch<br>deutscher<br>am deutschsten 
good	gut<br>besser<br>am besten 
ph: How are you?	Wie geht's? 
hard, solid, fixed, firm	fest<br>fester<br>am festesten 
healthy	gesund<br>gesunder<br>am gesündesten 
heavy<br>hard, difficult	schwer<br> 
helpful	hilfreich<br>hilfreicher<br>am hilfreichsten 
high	hoch<br>höher<br>am höchsten 
hot	heiß<br>heißer<br>am heißesten 
important	wichtig<br>wichtiger<br>am wichtigsten 
false, <br>incorrect, <br>wrong, <br>imitation, counterfeit	falsch<br>falscher<br>am falschesten 
remaining, left over, spare	übrig 
the individual	die Einzelperson -en <br>das Individuum -duen Wir sind Individuen. 
interesting	interessant<br>interessanter<br>am interessantesten 
international	international Keine Steigerung 
well known	bekannt<br>bekannter<br>am bekanntesten 
last	letzte Keine Steigerung 
left	link<br>linker<br>am linksten 
light, easy	leicht<br>leichter<br>am leichtesten 
long	lang<br>länger<br>am längsten 
meaningful, sensible	sinnvoll<br>sinnvoller<br>am sinnvollsten 
modern	modern<br>moderner<br>am modernsten 
near, be close to	nahe<br>näher<br>am nähesten 
necessary	nötig<br><br>notwendig<br>notwendiger<br>am notwendigsten 
new	neu<br>neuer<br>am neusten 
normal, usual	normal<br>gewöhnlich<br>üblich 
obvious, self evident	selbstverständlich<br>selbstverständlicher<br>am selbstverständlichsten 
old	alt<br>älter<br>am ältesten 
open	offen<br>offener<br>am offensten 
original [adj]	original<br>originaler<br>am originalsten 
own	eigen<br>eigener<br>am eigensten 
perfect, complete	perfekt, vollkommen 
personal	persönlich<br>persönlicher<br>am persönlichsten 
political	politisch<br>politischer<br>am politischsten 
popular	populär <br><br>beliebt <br>beliebter<br>am beliebtesten 
possible	möglich<br>möglicher<br>am möglichsten 
postive	positiv<br>positiver<br>am positivsten 
practical	praktisch<br>praktischer<br>am praktischsten 
private	privat<br>privater<br>am privatesten 
probably	wahrscheinlich<br>wahrscheinlicher<br>am wahrscheinlichsten 
public [adj]	öffentlich<br>öffentlicher<br>am öffentlichsten 
quiet, calm, peaceful	ruhig<br>ruhiger<br>am ruhigsten 
ready, prepared	bereit <br>parat 
real, actual	tatsächlich, wirklich Er hat es tatsächlich geschafft! 
real, genuine	echt<br>echter<br>am echtesten 
regional	regional Keine Steigerung 
relative	relativ<br>relativer<br>am relativsten 
responsible	zuständig <br>verantwortlich 
rich	reich 
round [adj]	rund<br>runder<br>am rundersten 
satisfied, content	zufrieden<br>zufriedener<br>am zufriedensten 
short, brief	kurz<br>kürzere<br>am kürzesten 
scarce, short	knapp<br>knapper<br>am knappsten 
similar	ähnlich<br>ähnlicher<br>am ähnlichsten 
simple	einfach<br>einfacher<br>am einfachsten 
sincere, heartfelt	herzlich<br>herzlicher<br>am herzlichsten 
single	einzel Keine Steigerung 
slow	langsam<br>langsamer<br>am langsamsten 
small	klein<br>kleiner<br>am kleinsten 
