Sie lachte mich aus.	She laughed at me.
Alles hat ein Ende.	Everything has an end.
Wie war eure Nacht?	How was your night?
Ich bin in Boston.	I'm in Boston.
Kennt ihn jemand?	Does anybody know him?
Er war zu alt zum Schwimmen.	He was too old to swim.
Ich machte es nicht alleine.	I didn't do it alone.
Wir sind noch nicht fertig.	We're not finished.
Ich schreibe ein Buch.	I'm writing a book.
Auch ich hörte viel darüber.	I've heard a lot about that, too.
Er hat ein eigenes Haus.	He has a house of his own.
Sie sollten gehen.	You should go.
Ein Bier, bitte!	One beer, please!
Kennen wir uns?	Are we acquaintances?
Ein Bier bitte.	A beer, please.
Was denkst du?	What are you thinking?
Wirst du mit dem Zug fahren?	Will you go by train?
Möchtest du etwas essen?	Would you like to eat something?
Kann ich dich sprechen?	May I speak to you?
Ich habe viele Blumen.	I have a lot of flowers.
Er fragte nach Ihnen.	He asked after you.
Ich will mehr davon.	I want more of that.
Ich habe viel Land.	I have a lot of land.
Dazu hast du keine Zeit.	You don't have the time.
Ich kann es nicht hören.	I can't hear it.
Tut mir leid, ich kann nicht.	I'm sorry, I can't.
Ich mag Englisch lieber.	I like English better.
Sie trank das Bier aus.	She drank the beer down.
Was willst du lernen?	What do you want to learn?
Es könnte wahr sein.	It may be true.
Es regnet dort.	It's raining there.
Das wusste ich damals nicht.	I didn't know that at the time.
Unsere Arbeit hört nie auf.	Our work never ends.
Du wirst mir auch fehlen.	I'll miss you too.
Wie gut du Englisch sprichst!	What a good speaker of English you are!
Ich kann kein Auto fahren.	I can't drive.
Er ging in die Luft.	He went ballistic.
Ich lerne schnell.	I'm a fast learner.
Sie haben wirklich Glück.	You're really lucky.
Wir sind jetzt Freunde.	We're friends now.
Trinken Sie das nicht.	Don't drink that.
Er hört gerne Radio.	He likes to listen in to the radio.
Ich halte ein Buch.	I'm holding a book.
Ich wusste es damals nicht.	I didn’t know it at the time.
Was willst du von mir hören?	What do you want to hear from me?
Was wäre die Welt ohne Tee?	What would the world do without tea?
Es tut mir leid für sie.	I feel sorry for her.
Ich antwortete für ihn.	I answered for him.
Wie sehr du mir fehlst!	How I miss you.
Es regnet wieder!	It's raining again!
Es regnet wieder.	It's raining again!
Wer sagt das?	Who said that?
Wie hat es Ihnen gefallen?	How did you like it?
Er wurde über Nacht reich.	He became rich overnight.
Er hat es gleich getan.	He did it right away.
Wollen Sie reich sein?	Do you want to be rich?
Ich lese gerne Bücher.	I like reading books.
Wir gehen selten aus.	We rarely go out.
Ich sehe den Jungen.	I see the boy.
Sie saß neben ihm.	She sat next to him.
Sie wohnt bei ihrem Vater.	She lives with her dad.
Er kennt die Stadt gut.	He knows the city well.
Das sollte genug sein.	That should be enough.
Du gehst besser nicht.	You'd better not go.
Was tut dir weh?	What hurts you?
Ich rufe meine Frau zurück.	I am calling back my wife.
Mach bitte das Radio an.	Could you please turn the radio on?
Wo soll ich auf dich warten?	Where shall I wait for you?
Gestern war ich glücklich.	I was happy yesterday.
Ich sollte das Buch lesen.	I should read the book.
Ich habe dich beobachtet.	I have been watching you.
Sie müssen zurück gehen.	You have to go back.
Was kostet dieses Radio?	How much is this radio?
Ken hielt dich für mich.	Ken mistook you for me.
Ich bin fertig mit ihm.	I've had it with him.
Was möchtest du essen?	What would you like to eat?
Möchtest du was essen?	Do you want to eat?
Nie wieder.	Never again.
Kommst du?	Are you coming?
Er schrieb an seine Eltern.	He wrote to his parents.
Er begann ein neues Leben.	He started a new life.
Es gibt Kaffee und Kaffee.	There's coffee, and then there's COFFEE.
Der Mann nahm meinen Arm.	The man took my arm.
Sie sah ihm ins Gesicht.	She looked him in the face.
Du hast wirklich Glück.	You're really lucky.
Wo sind deine Sachen?	Where are your things?
Ich werde nicht mehr reden.	I'm not going to talk anymore.
Ich kam spät nach Hause.	I came back home late.
Wird es sehr weh tun?	Will it hurt a lot?
Du solltest gehen.	You should go.
Hier, nehmen Sie dieses!	Here, take this.
Wir haben einen Plan.	We have a plan.
Es tat nicht wirklich weh.	It didn't really hurt.
Geben Sie mir Ihr Hemd!	Give me your shirt.
Das Buch fiel auf den Boden.	The book fell to the floor.
Ich bin ziemlich glücklich.	I'm kind of happy.
Sie will dich sprechen.	She wants to talk to you.
Er hat wirklich Glück.	He's a lucky guy.
Sie kann schon lesen.	She already knows how to read.
Willst du das nehmen?	Do you want to take that?
Sie lesen ihr Buch.	They are reading her book.
Er soll reich sein.	He is said to be rich.
Wie gut sie singt!	How well she is singing!
Ich setzte mich.	I sat down.
Er küsste mich nur einmal.	He only kissed me once.
Sie wollen dich tot sehen.	They want you dead.
Er konnte das Buch lesen.	He was able to read the book.
Seine Mutter hatte Recht.	His mother was right.
Er ruft sie jeden Abend an.	He calls her up every night.
Er war mehr als ein König.	He was more than a king.
Sie trank ihr Bier aus.	She finished her beer.
Er wurde schnell reich.	He got rich quickly.
Heute gibt es keinen Wind.	There's no wind today.
Sie lebt in dem Dorf.	She lives in the village.
Bitte seid alle ruhig.	Please be quiet, everybody.
Das klingt nach Spaß.	That sounds like fun.
Er arbeitet kaum.	He hardly works.
Ich kann dich nicht hören.	I can't hear you.
Sie bat um seine Hilfe.	She asked him for help.
Geld macht nicht glücklich.	Money doesn't buy happiness.
Das Baby schlief ein.	The baby fell asleep.
Ich trinke kein Bier mehr.	I'm off beer.
Ich war einsam ohne sie.	I was lonely without her.
Alle lieben ihn.	Everybody loves him.
Bist du bereit?	Are you ready?
Ich dusche gern in der Nacht.	I like to take a shower at night.
Sie öffnete die Augen.	She opened her eyes.
Ich trinke nie allein.	I never drink alone.
Sie stimmte ihm zu.	She agreed with him.
Ich saß neben ihm.	I sat next to him.
Er kam gestern spät zurück.	Yesterday he came back late.
Gestern kam er spät zurück.	Yesterday he came back late.
Das tut mir Leid für dich.	I am sorry for you.
Ich wollte mit dir reden.	I've been wanting to talk to you.
Er aß allein zu Abend.	He had dinner by himself.
Viel Lärm um nichts.	Much ado about nothing.
Ich finde dich nett.	I think you're nice.
Einen Kaffee bitte!	Coffee, please.
Er legte auf.	He hung up.
Der Tag sollte schön werden.	The day turned out to be fine.
Ich kann es nicht verstehen.	I can't make head nor tail of it.
Was brauchst du sonst noch?	What more do you need?
Ihr habt das gut erklärt.	You explained that well.
Das waren meine Freunde.	They were my friends.
Du arbeitest nicht hier.	You don't work here.
Ich weiß nichts davon.	I don't know anything.
Ich will nichts lesen.	I don't want to read anything.
Wissen sie von uns?	Do they know about us?
Gehst du auch?	Are you going, too?
Du machst mich glücklich.	You make me happy.
Das war meine erste Arbeit.	It was my first job.
Geh bitte nicht so schnell!	Don't walk so fast.
Sie hat eine lange Nase.	She has a long nose.
In das Dorf fährt kein Bus.	There is no bus service to the village.
Ich kann nicht mehr warten.	I can't wait any more.
Was steht in seinem Brief?	What does he say in his letter?
Niemand kann ihn lieben.	Nobody can love him.
Die Frau starrte uns an.	The woman glared at us.
Ich mag diese Schule.	I like this school.
Arbeiten Sie hier?	Do you work here?
Ich muss arbeiten.	I have to work.
Du kommst spät.	You're late.
Wir sind hier, um zu helfen.	We're here to help.
Er steht auf dem Kopf.	He's standing on his head.
Mein Bruder schwimmt nicht.	My brother doesn't swim.
Die Tür schließt sich.	The door is closing.
Gestern kamen sie hier an.	They got here yesterday.
Mir ging die Luft aus.	I ran out of breath.
Kommen Sie schnell!	Come quickly.
Ich schulde Ihnen nichts.	I owe you nothing.
Ich suche meinen Bruder.	I am looking for my brother.
Die Sonne geht unter.	The sun is setting.
Er muss tot sein.	He must be dead.
Ihr geht es langsam besser.	She is getting well by degrees.
Wenn es einer kann, dann er.	He can do it if anybody.
Mein Arm tut mir noch weh.	My arm still hurts.
Wartet auf mich!	Wait for me!
Was gibt es da zu verstehen?	What is there to understand?
Ihr gefällt ihr neues Kleid.	She's pleased with her new dress.
Ihr neues Kleid gefällt ihr.	She's pleased with her new dress.
Ich werde auf dich warten.	I'll wait for you.
Wie schnell sie schwimmt!	How fast she swims!
Wer spricht heute Abend?	Who is going to speak tonight?
Besser spät als nie.	Better late than never.
Mach das nie wieder!	Don't ever do that again.
Ich vermisse Sie.	I miss you.
Wie viele Leute?	How many people?
Ich hoffe, du wirst es mögen.	I hope that you will like it.
Ich mache dich glücklich.	I will make you happy.
Wir müssen mehr lernen.	We need to study more.
Das sind nur Studenten.	They're just students.
Er will Sie sprechen.	He wants to talk to you.
Du hast zwei Blumen.	You have two flowers.
Er kann gut lesen.	He can read well.
Niemand hörte der Rede zu.	Nobody was listening to the speech.
Dein Englisch wird besser.	Your English is improving.
Was hat er gestern getan?	What did he do yesterday?
Es war der einzige Weg.	It was the only way.
Blumen sind immer gut.	Flowers are always a good idea.
Wo liegt das Problem?	What is the problem?
Haben Sie das getan?	Did you do that?
Niemand liebt mich.	Nobody loves me.
Ich erinnere mich an nichts.	I don't remember anything.
Du wirst nie alleine sein.	You'll never be alone.
Ich hasse meine Stimme.	I hate my voice.
Ich gehe zu Fuß zur Schule.	I go to school on foot.
Willst du etwas zum Trinken?	Would you like something to drink?
Ich hoffe, er kommt morgen.	I hope he comes tomorrow.
Sie hat ein bisschen Brot.	She has a little bread.
Gehe sofort in den Raum.	Enter the room at once.
Ich muss ihn sprechen.	I've got to speak to him.
Sie haben es getan!	You've done it!
Warum tut ihr mir das an?	Why do you always do that to me?
Ich ging gestern zur Schule.	I went to school yesterday.
Lebt dieser Fisch noch?	Is this fish still alive?
