a	eine
adjusting ruhr	telleruhr
after	nach
again	wieder
agreed	ausgemacht
all	alle
all	ganz
all the time	immerzu
along	entlang
also	auch
always	immer
and	und
apologetic	entschuldigend
are	sind
around	um
as	als
as	wie
asked	fragte
at	an
at	bei
at all	überhaupt
at night	nachts
ate	aß
Bank	bank
barefoot	barfuß
be wrong	irren
beautiful	schon
beautiful	schön
because	denn
because	weil
been	gewesen
belongs	gehört
blue	blau
blue	blauen
bomb	bombe
bomb	bomben
bottom lip	unterlippe
breath	atemzug
bright	hell
broken	kaputt
but	aber
but	doch
came	kam
cardigan	wolljacke
cautious	vorsichtigen
circle	kreis
Clock	uhr
cold	kalt
coming	kommt
continue	weiter
could	konnte
could	könnte
dabbed	tupfte
dark	dunklen
Dear	lieber
did	tat
dinner	abendbrot
do	tun
door	tür
down	hin
drew	zog
drove	fuhr
each	jede
each	jedes
eat	essen
edge	rand
embarrassed	verlegen
equal	gleich
especially	besonders
everything	alles
excited	aufgeregt
eyes	augen
face	gesicht
family	familie
far	weitem
Fed up	satt
feet	füße
fell	fiel
find	finde
finger	finger
fingertip	fingerspitze
first	erst
fixed	fest
for sure	sicher
found	fand
found	gefunden
four	vier
from	von
get	zukommen
go	gehen
goes down	runtergeht
going	geht
had	hatten
half	halb
hand	hand
Has	hat
has been	wurde
have	habe
have to	müssen
he	er
head	kopf
heard	hörte
held	hielt
her	ihr
here	hier
high	hoch
him	ihm
him	ihn
his	seine
his	seinem
his	seiner
home	hause
House	haus
hunger	hunger
I	ich
if	ob
if	wenn
imer	imer
important	wichtig
in	in
in front	vor
in the	ins
inwardly	innerlich
is	ist
it	daran
it	es
joke	witz
joyful	freudig
just	ausgerechnet
just	gerade
just	nur
kitchen	küche
kitchen clock	küchenuhr
knew	kannten
knowledge	wissen
late	spät
laughing	lachte
left	übrig
lifted	hob
light	licht
line	reihe
long	lang
Long	lange
looks	sieht
lost	verloren
made	machte
man	mann
me	mich
me	mir
mean	meinen
met	getroffen
more	mehr
most beautiful	schönste
mostly	meistens
mother	mutter
Mrs	frau
my	meine
my	meinem
namely	nämlich
Naturally	natürlich
nearly	fast
never	nie
Next	neben
night	nacht
no	keinen
No	nein
nodded	nickte
Not	nicht
Nothing	nichts
now	jetzt
now	nun
numbers	zahlen
nämlch	nämlch
Of course	selbstverständlich
of the	der
of their	ihrer
often	oft
Oh	ach
old	alten
old one	altes
on	auf
on	ein
on	fort
one	einem
one	einen
one	einer
open	aufmachen
or	oder
other	anderen
other	anderes
otherwise	sonst
our	unsere
out	aus
paint	lack
painted	gemalten
paradise	paradies
parents	eltern
path	weg
Plate	teller
plate white	tellerweiße
pointer	zeiger
pressure	druck
pretty	hübsch
pushed	schob
put	stellen
put down	wegsetzen
quarter	viertel
quiet	leise
quiet	still
redden	roten
remained	geblieben
right one	richtige
room	zimmer
round	runde
said	meinte
said	sagte
sat	saß
sat	saßen
sat	setzte
saw	sah
saw	sahen
scarf	schal
schütellte	schütellte
scoured	scheuerte
see	sehen
seven	sieben
sheet	blech
Shoes	schuhe
showed	zeigte
Sir	herr
slept	geschlafen
small	klein
smiled	lächelte
so	so
someone	jemand
something	etwas
sought	suchte
stand	stehen
stands	steht
stay	bleiben
still	noch
stop	aufhören
stopped	stehengeblieben
stroller	kinderwagen
suddenly	plötzlich
Sun	sonne
taken away	weggenommen
talk	reden
tells	erzählt
that	dass
the	das
the	dem
the	den
the	die
their	ihren
them	ihnen
themselves	sich
then	dann
there	da
there	dabei
think	denken
thought	dachte
three	drei
tile	kacheln
tiled	gekachelt
times	mal
to	bis
to	zu
to have	haben
to the	zum
together	aneinander
told	gesagt
TRUE	wahr
twenty	zwanzig
value	wert
warm	warm
was	war
was standing	stand
watch	uhren
well	wohl
went	ging
were	waren
What	was
White	weiß
white	weißem
white and blue	weißblaue
With	mit
word	wort
wore	trug
would have	hatte
Yes	ja
you	man
you	sie
your	ihre
