Sie sahen ihn schon von weitem auf sich zukommen, denn er fiel auf.	They saw him coming from afar, for he fell(on).
	
 Er hatte ein ganz altes Gesicht, aber wie er ging, daran sah man, dass er erst zwanzig war.	 He had a very old face, but as he went, he could see that he was only twenty.
 Er setzte sich mit seinem alten Gesicht zu ihnen auf die Bank.	 He sat down with his old face to them on the bench.
 Und dann zeigte er ihnen, was er in der Hand trug.	 And then he showed them what he was carrying in his hand.
	
Das war unsere Küchenuhr, sagte er und sah sie alle der Reihe nach an, die auf der Bank in der Sonne saßen.	That was our kitchen clock, he said, and looked at them all in turn, sitting on the bench in the sun.
Ja, ich habe sie noch gefunden.	 Yes, I still found them.
 Sie ist übrig geblieben.	 She is left over.
 Er hielt eine runde tellerweiße Küchenuhr vor sich hin und tupfte mit dem Finger die blau gemalten Zahlen ab.	 He held a round plate-shaped kitchen clock to himself and dabbed the blue-painted figures with his finger.
	
Sie hat weiter keinen Wert, meinte er entschuldigend, das weiß ich auch.	She has no value, he said apologetically, I know that.
 Und sie ist auch nicht besonders schön.	 And she is not particularly beautiful either.
 Sie ist nur wie ein Teller, so mit weißem Lack.	 She is just like a plate, so with white lacquer.
 Aber die blauen Zahlen sehen doch ganz hübsch aus, finde ich.	 But the blue numbers look pretty, I think.
 Die Zeiger sind natürlich nur aus Blech.	 The hands are, of course, only made of sheet metal.
 Und nun gehen sie auch nicht mehr.	 And now they are not going any more.
 Nein.	 No.
 Innerlich ist sie kaputt, das steht fest.	 Inside it is broken, that is fixed.
 Aber sie sieht noch aus wie immer.	 But she still looks as always.
 Auch wenn sie jetzt nicht mehr geht.	 Even if she does not go now.
	
Er machte mit der Fingerspitze einen vorsichtigen Kreis auf dem Rand der telleruhr entlang.	He made a careful circle with the tip of his finger on the edge of the pocket watch.
 Und er sagte leise: Und sie ist übrig geblieben.	" And he said softly, ""She is left."""
	
Die auf der Bank in der Sonne saßen, sahen ihn nicht an.	Those sitting on the bench in the sun did not look at him.
 Einer sah auf seine Schuhe und die Frau sah in ihren Kinderwagen.	 One looked at his shoes and the woman looked into her baby carriage.
 Dann sagte jemand:	 Then someone said:
Sie haben wohl alles verloren?	You probably lost everything?
Ja, ja, sagte er freudig, denken Sie, aber auch alles! Nur sie hier, sie ist übrig.	Yes, yes, he said joyfully, think, but also everything! Only she is here, she is left.
 Und er hob die Uhr wieder hoch, als ob die anderen sie noch nicht kannten.	 And he raised the watch again, as if the others had not yet known her.
	
Aber sie geht doch nicht mehr, sagte die Frau.	But she does not go any more, said the woman.
	
Nein, nein, das nicht.	No, no, not that.
 Kaputt ist sie, das weiß ich wohl.	 It's broken, I know.
 Aber sonst ist sie doch noch ganz wie immer: weiß und blau.	 But otherwise she is still as always: white and blue.
 Und wieder zeigte er ihnen seine Uhr.	 And again he showed them his watch.
 Und was das Schönste ist, fuhr er aufgeregt fort, das habe ich Ihnen ja noch überhaupt nicht erzählt.	 And what is most beautiful, he went on excitedly, I have not told you at all.
 Das Schönste kommt nämlich noch: Denken Sie mal, sie ist um halb drei Stehengeblieben.	 The most beautiful thing is: Think, she's standing at three-thirty.
 Ausgerechnet um halb drei, denken Sie mal.	 At half past three, you think.
	
Dann wurde Ihr Haus sicher um halb drei getroffen, sagte der Mann und schob wichtig die Unterlippe vor.	Then your house was sure to be hit at half-past three, the man said, pushing the lower lip.
 Das habe ich schon oft gehört.	 I've heard that many times.
 Wenn die Bombe runtergeht, bleiben die Uhren stehen.	 When the bomb goes down, the clocks stop.
 Das kommt von dem Druck.	 That comes from the pressure.
	
Er sah seine Uhr an und schütellte den Kopf.	He looked at his watch and shook his head.
 Nein, lieber Herr, nein, da irren Sie sich.	 No, sir, no, you are mistaken.
 das hat mit den Bomben nichts zu tun.	 This has nothing to do with the bombs.
 Sie müssen nicht imer von den Bomben reden.	 You do not have to talk about the bombs.
 Nein.	 No.
 Um halb drei war etwas ganz anderes, das wissen Sie nur nicht.	 At half-past one was something else, you just do not know.
 Das ist nämlch der Witz, dass sie gerade um halb drei stehen geblieben ist.	 This is the joke, that she has just stopped at half past three.
 Und nicht um Viertel nach vier oder um sieben.	 And not by four or seven.
 Um halb drei kam ich nämlich immer nach Hause.	 At half past eight I always came home.
 Nachts, meine ich.	 At night, I mean.
 Fast immer um halb drei.	 Almost always at three-thirty.
 Das ist ja gerade der Witz.	 This is just the joke.
	
Er sah die anderen an, aber sie hatten ihre Augen von ihm weggenommen.	He looked at the others, but they had taken her eyes away from him.
 Er fand sie nicht.	 He did not find them.
