abendbrot	dinner
aber	but
ach	Oh
alle	all
alles	everything
als	as
alten	old
altes	old one
an	at
anderen	other
anderes	other
aneinander	together
atemzug	breath
auch	also
auf	on
aufgeregt	excited
aufhören	stop
aufmachen	open
augen	eyes
aus	out
ausgemacht	agreed
ausgerechnet	just
aß	ate
bank	Bank
barfuß	barefoot
bei	at
besonders	especially
bis	to
blau	blue
blauen	blue
blech	sheet
bleiben	stay
bombe	bomb
bomben	bomb
da	there
dabei	there
dachte	thought
dann	then
daran	it
das	the
dass	that
dem	the
den	the
denken	think
denn	because
der	of the
die	the
doch	but
drei	three
druck	pressure
dunklen	dark
ein	on
eine	a
einem	one
einen	one
einer	one
eltern	parents
entlang	along
entschuldigend	apologetic
er	he
erst	first
erzählt	tells
es	it
essen	eat
etwas	something
familie	family
fand	found
fast	nearly
fest	fixed
fiel	fell
finde	find
finger	finger
fingerspitze	fingertip
fort	on
fragte	asked
frau	Mrs
freudig	joyful
fuhr	drove
füße	feet
ganz	all
geblieben	remained
gefunden	found
gehen	go
geht	going
gehört	belongs
gekachelt	tiled
gemalten	painted
gerade	just
gesagt	told
geschlafen	slept
gesicht	face
getroffen	met
gewesen	been
ging	went
gleich	equal
habe	have
haben	to have
halb	half
hand	hand
hat	Has
hatte	would have
hatten	had
haus	House
hause	home
hell	bright
herr	Sir
hielt	held
hier	here
hin	down
hob	lifted
hoch	high
hunger	hunger
hörte	heard
hübsch	pretty
ich	I
ihm	him
ihn	him
ihnen	them
ihr	her
ihre	your
ihren	their
ihrer	of their
imer	imer
immer	always
immerzu	all the time
in	in
innerlich	inwardly
ins	in the
irren	be wrong
ist	is
ja	Yes
jede	each
jedes	each
jemand	someone
jetzt	now
kacheln	tile
kalt	cold
kam	came
kannten	knew
kaputt	broken
keinen	no
kinderwagen	stroller
klein	small
kommt	coming
konnte	could
kopf	head
kreis	circle
könnte	could
küche	kitchen
küchenuhr	kitchen clock
lachte	laughing
lack	paint
lang	long
lange	Long
leise	quiet
licht	light
lieber	Dear
lächelte	smiled
machte	made
mal	times
man	you
mann	man
mehr	more
meine	my
meinem	my
meinen	mean
meinte	said
meistens	mostly
mich	me
mir	me
mit	With
mutter	mother
müssen	have to
nach	after
nacht	night
nachts	at night
natürlich	Naturally
neben	Next
nein	No
nicht	Not
nichts	Nothing
nickte	nodded
nie	never
noch	still
nun	now
nur	just
nämlch	nämlch
nämlich	namely
ob	if
oder	or
oft	often
paradies	paradise
plötzlich	suddenly
rand	edge
reden	talk
reihe	line
richtige	right one
roten	redden
runde	round
runtergeht	goes down
sagte	said
sah	saw
sahen	saw
satt	Fed up
saß	sat
saßen	sat
schal	scarf
scheuerte	scoured
schob	pushed
schon	beautiful
schuhe	Shoes
schön	beautiful
schönste	most beautiful
schütellte	schütellte
sehen	see
seine	his
seinem	his
seiner	his
selbstverständlich	Of course
setzte	sat
sich	themselves
sicher	for sure
sie	you
sieben	seven
sieht	looks
sind	are
so	so
sonne	Sun
sonst	otherwise
spät	late
stand	was standing
stehen	stand
stehengeblieben	stopped
steht	stands
stellen	put
still	quiet
suchte	sought
tat	did
teller	Plate
telleruhr	adjusting ruhr
tellerweiße	plate white
trug	wore
tun	do
tupfte	dabbed
tür	door
uhr	Clock
uhren	watch
um	around
und	and
unsere	our
unterlippe	bottom lip
verlegen	embarrassed
verloren	lost
vier	four
viertel	quarter
von	from
vor	in front
vorsichtigen	cautious
wahr	TRUE
war	was
waren	were
warm	warm
was	What
weg	path
weggenommen	taken away
wegsetzen	put down
weil	because
weitem	far
weiter	continue
weiß	White
weißblaue	white and blue
weißem	white
wenn	if
wert	value
wichtig	important
wie	as
wieder	again
wissen	knowledge
witz	joke
wohl	well
wolljacke	cardigan
wort	word
wurde	has been
zahlen	numbers
zeiger	pointer
zeigte	showed
zimmer	room
zog	drew
zu	to
zukommen	get
zum	to the
zwanzig	twenty
überhaupt	at all
übrig	left
