Es gibt viele Methoden die Gefühle mit dem Gesicht zu zeigen.	There are many methods to show emotions with your face.
Heute zeige ich ein paar Gesichtsausdrücke und beschreibe, was sie bedeuten.	Today I will show you a few facial expressions and describe what they mean.
Coole Musik	Cool music.
fröhlich (happy) - vergnügt, heiter und optimistisch	fröhlich (happy) - satisfied, fine and optimistic
“Nichts ist heute schlecht. Alles läuft gut. Die Welt ist toll. Ich bin fröhlich.”	“Nothing is bad today. Everything is going well. The world is great. I am happy.”
traurig (sad) - nicht fröhlich, seelischen Schmerz fühlend	traurig (sad) - not happy, feeling of soulful pain
“Meine Freundin mag mich nicht mehr.	“My girlfriend doesn’t like me anymore.
Sie sagte, ich bin hässlich und dann hat sie mit mir Schluss gemacht.	She said I am ugly and then she broke up with me.
Ich bin traurig.”	I’m sad.”
wütend (angry) - voller Wut (ein Gefühl, das von starkem Ärger und Zorn bestimmt ist)	wütend (angry) - full of anger (a feeling, that is defined by a strong annoyance and fury)
“Na komm schon. Es heißt ein Fahrtrichtungsanzeiger, da er die Richtung zeigt, in die man fahren möchte.	“Oh come on! It is called a turn signal, because it shows the direction in which one wishes to turn.
Das ist besonders hilfreich, wenn man die Richtung ändert!	It is especially helpful when you change directions!
Wo haben Sie Ihren Führerschein gemacht?”	Where did you get your driver’s license?”
Seufz	Sigh
zornig (furious) - sehr wütend	zornig (furious) - very angry
“Guten Abend, meine Damen und Herren. Es tut uns sehr leid, aber dieser Flug fliegt heute nicht nach Chicago, denn wir haben technische Schwierigkeiten.	“Good evening, ladies and gentlemen. We are very sorry, but this flight isn’t flying to Chicago today, because we have technical difficulties.
Wir müssen alle aussteigen. Da dieser Flug der letzte für heute ist, müssen Sie bis morgen warten um nach Chicago zu fliegen.”	We all have to exit. Because this flight is the last one for today, you have to wait until tomorrow to fly to Chicago.”
überrascht (surprised) - so, dass man auf etwas nicht vorbereitet ist und sich deshalb wundert	überrascht (surprised) - so that one is not prepared for something and therefore marvels
“Ein neuer Patreon-Unterstützer! Danke.”	“A new Patreon supporter! Thank you.”
verlegen (embarrassed) - unsicher, weil etwas peinlich ist	verlegen (embarrassed) - unsure, because something is awkward
“Uh oh, ich habe meine Hose vergessen.”	“Uh oh, I forgot my pants.”
verwirrt (confused) - geistig und psychisch durcheinander	verwirrt (confused) - mentally and physically flustered
“Woher habe ich diesen Bluterguss?”	“Where did I get this bruise?”
schüchtern (shy) - scheu gehemmt und anderen Menschen gegenüber zurückhaltend	schüchtern (shy) - bashfully inhibited and reserved around other people
“Hallo. Mein Name ist Herr Antrim. Ich bin 30 Jahre alt und wohne in den USA.”	“Hello. My name is Herr Antrim. I am 30 years old and I live in the USA.”
gelangweilt (bored) - das Gefühl, das eintritt, wenn man nichts zu tun hat und nicht weiß, wie man seine Zeit verbringen soll	gelangweilt (bored) - the feeling that occurs when one has nothing to do and doesn’t know how he should spend his time
“Was soll ich heute machen?	“What should I do today?
Ich habe schon alle neuen Folgen von Doctor Who gesehen.	I have already seen all of the new episodes of Doctor Who. Hmm.
Hmm. Vielleicht sollte ich nochmal ganz von vorne anfangen.”	Maybe I should start from the beginning again.”
Gähnen	Yawn.
müde (tired) - so, dass man das Bedürfnis nach Schlaf hat	müde (tired) - so that one needs sleep
“Was schon vier Uhr morgens?	“What? Already 4 o’clock in the morning?
Nur noch eine Folge.”	Only one more episode.”
schläfrig (sleepy) - so müde, dass man fast einschläft	schläfrig (sleepy) - so tired that one almost falls asleep
“Nur noch eine Folge.”	“Only one more episode.”
erschrocken (scared) - bewirken, dass jmd. in Schrecken (ein Ereignis, das Angst und Furcht verbreitet) verfällt	erschrocken (scared) - the effect that sends someone into dismay (an event that causes fear and fright)
“Ach du lieber Himmel. Ich muss zur Arbeit.”	“Oh my goodness. I have to go to work.”
zuversichtlich (confident) - der feste Glaube daran, dass etwas Positives geschehen wird	zuversichtlich (confident) - the solid belief that something positive will happen
“Ich sehe heute gut aus.”	“I look good today.”
angeekelt (disgusted) - eine sehr starke Abscheu gegen jemanden/etwas	angeekelt (disgusted) - a very strong revulsion against someone or something
“Ah. Mein Sandwich schimmelt.”	“Ah. My sandwich is molding.”
enttäuscht (frustrated, disappointed) - traurig, weil Erwartungen nicht erfüllt wurden	enttäuscht (frustrated, disappointed) - sad, because expectations are not met
“Warum funktioniert diese Fernbedienung nicht?”	“Why doesn’t this remote work?”
schuldig (guilty) - verantwortlich für eine böse Tat oder ein Verbrechen	schuldig (guilty) - responsible for a bad deed or crime
“Es tut mir leid. Ich habe die Kekse gegessen.”	“I am sorry. I ate the cookies.”
nervös (nervous) - innerlich unruhig oder angespannt sein	nervös (nervous) - internally restless or tense
“Meine Damen und Herren. Darf ich vorstellen, Herr Antrim.”	“Ladies and gentlemen, may I introduce, Herr Antrim!”
